Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Population, total",SP.POP.TOTL,Vietnam,VNM,66016700,77630900,84218500,85118700,86025000,86932500,87860300,88809200,89759500,90728900,91703800,..
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,103963,108639,107423,107091,106707,106267,105784,105275,104737,104170,103574,..
"Population, total",SP.POP.TOTL,West Bank and Gaza,WBG,1978248,2922153,3494496,3596688,3702218,3811102,3927051,4046901,4169506,4294682,4422143,..
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,11961099,17795219,21701105,22322699,22954226,23591972,24234940,24882792,25533217,26183676,26832215,..
"Population, total",SP.POP.TOTL,Zambia,ZMB,8143142,10585220,12738676,13114579,13507849,13917439,14343526,14786581,15246086,15721343,16211767,..
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,10484771,12499981,13297798,13495462,13720997,13973897,14255592,14565482,14898092,15245855,15602751,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 12/28/2016,,,,,,,,,,,,,,,
